pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"ZE1 0NB","ZE1  0NB","ZE1 0NB","199207","200102","S99999999","S99999999","S12000027","S13003153","S99999999","1","446053","1140912","6","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036950","27C01","S99999999","S01005501","S02001051","5","4B4","S00129036","S01012393","S02002323","S34002522","S03000037","S99999999","5","1A4",60.150123,-1.172409,"S99999999","","S23000009",4778,"S99999999","S99999999","S00174801","S01019726","S02003652","4"
"ZE1 0ND","ZE1  0ND","ZE1 0ND","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447412","1141793","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036976","27C06","S99999999","S01005507","S02001052","5","5B2","S00129061","S01012400","S02002324","S34002495","S03000037","S99999999","5","7D1",60.157877,-1.147732,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174782","S01019733","S02003653","4"
"ZE1 0NE","ZE1  0NE","ZE1 0NE","199706","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446248","1142321","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00037047","27C07","S99999999","S01005508","S02001052","5","5C1","S00129139","S01012401","S02002324","S34002499","S03000037","S99999999","5","7A3",60.162751,-1.168579,"S99999999","","S23000009",1774,"S99999999","S99999999","S00174771","S01019734","S02003653","4"
"ZE1 0NF","ZE1  0NF","ZE1 0NF","199912","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446073","1142217","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00037048","27C07","S99999999","S01005508","S02001052","5","5B2","S00129140","S01012401","S02002324","S34000595","S03000037","S99999999","5","7C3",60.161837,-1.171755,"S99999999","","S23000009",1774,"S99999999","S99999999","S00174771","S01019734","S02003653","4"
"ZE1 0NG","ZE1  0NG","ZE1 0NG","199906","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446200","1142266","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00037047","27C07","S99999999","S01005508","S02001052","5","5C1","S00129139","S01012401","S02002324","S34002499","S03000037","S99999999","5","7A3",60.162262,-1.169456,"S99999999","","S23000009",1774,"S99999999","S99999999","S00174771","S01019734","S02003653","4"
"ZE1 0NH","ZE1  0NH","ZE1 0NH","199906","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447194","1141797","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036976","27C06","S99999999","S01005507","S02001052","5","5B2","S00129061","S01012400","S02002324","S34002495","S03000037","S99999999","5","7D1",60.157938,-1.151658,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174782","S01019733","S02003653","4"
"ZE1 0NJ","ZE1  0NJ","ZE1 0NJ","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447375","1141724","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00037000","27C03","S99999999","S01005507","S02001052","5","5B2","S00129087","S01012400","S02002324","S34002515","S03000037","S99999999","5","7A2",60.157262,-1.148415,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174783","S01019733","S02003653","4"
"ZE1 0NL","ZE1  0NL","ZE1 0NL","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447251","1141728","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036976","27C06","S99999999","S01005507","S02001052","5","5B2","S00129061","S01012400","S02002324","S34002495","S03000037","S99999999","5","7D1",60.157312,-1.150647,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174782","S01019733","S02003653","4"
"ZE1 0NN","ZE1  0NN","ZE1 0NN","199612","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446008","1142097","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00037048","27C07","S99999999","S01005508","S02001052","5","5B2","S00129140","S01012401","S02002324","S34000595","S03000037","S99999999","5","7C3",60.160767,-1.172953,"S99999999","","S23000009",1774,"S99999999","S99999999","S00174780","S01019734","S02003653","4"
"ZE1 0NP","ZE1  0NP","ZE1 0NP","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447105","1141706","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036976","27C06","S99999999","S01005507","S02001052","5","5B2","S00129061","S01012400","S02002324","S34002495","S03000037","S99999999","5","7D1",60.157132,-1.153282,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174782","S01019733","S02003653","4"
