pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DG112HN","DG11 2HN","DG11 2HN","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313962","0581301","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008351","08C44","S99999999","S01001055","S02000194","3","1A2","S00098066","S01007636","S02001436","S34000911","S03000005","S99999999","3","8C2",55.118605,-3.350527,"S99999999","","S23000009",3036,"S99999999","S99999999","S00146284","S01015313","S02002838","3"
"DG112HP","DG11 2HP","DG11 2HP","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313910","0581540","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008699","08C44","S99999999","S01001055","S02000194","3","1A1","S00098426","S01007636","S02001436","S34000918","S03000005","S99999999","3","8C2",55.120743,-3.351415,"S99999999","","S23000009",3036,"S99999999","S99999999","S00146272","S01015313","S02002838","3"
"DG112HQ","DG11 2HQ","DG11 2HQ","199012","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313635","0581136","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008334","08C45","S99999999","S01001055","S02000194","3","5B2","S00098049","S01007636","S02001436","S34000809","S03000005","S99999999","3","7C3",55.117066,-3.355603,"S99999999","","S23000009",3036,"S99999999","S99999999","S00146277","S01015313","S02002838","3"
"DG112HR","DG11 2HR","DG11 2HR","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313988","0581697","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008700","08C44","S99999999","S01001056","S02000194","3","1C1","S00098427","S01007637","S02001436","S34000918","S03000005","S99999999","3","8C2",55.122167,-3.350240,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146273","S01015314","S02002838","3"
"DG112HS","DG11 2HS","DG11 2HS","198001","200902","S99999999","S99999999","S12000006","S13002890","S99999999","1","314031","0581596","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008700","08C44","S99999999","S01001056","S02000194","3","1C1","S00098427","S01007637","S02001436","S34000918","S03000005","S99999999","3","8C2",55.121267,-3.349535,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146273","S01015314","S02002838","3"
"DG112HT","DG11 2HT","DG11 2HT","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","314068","0581686","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008348","08C44","S99999999","S01001054","S02000194","3","1A1","S00098063","S01007637","S02001436","S34000911","S03000005","S99999999","3","8A2",55.122082,-3.348983,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146264","S01015314","S02002838","3"
"DG112HU","DG11 2HU","DG11 2HU","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","314055","0581753","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008348","08C44","S99999999","S01001054","S02000194","3","1A1","S00098063","S01007637","S02001436","S34000911","S03000005","S99999999","3","8A2",55.122682,-3.349207,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146264","S01015314","S02002838","3"
"DG112HW","DG11 2HW","DG11 2HW","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313910","0581564","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008699","08C44","S99999999","S01001055","S02000194","3","1A1","S00098426","S01007636","S02001436","S34000918","S03000005","S99999999","3","8C2",55.120959,-3.351422,"S99999999","","S23000009",3036,"S99999999","S99999999","S00146272","S01015313","S02002838","3"
"DG112HX","DG11 2HX","DG11 2HX","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","314035","0581943","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008348","08C44","S99999999","S01001054","S02000194","3","1A1","S00098063","S01007637","S02001436","S34000911","S03000005","S99999999","3","8A2",55.124385,-3.349578,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146264","S01015314","S02002838","3"
"DG112HY","DG11 2HY","DG11 2HY","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313995","0581784","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008347","08C44","S99999999","S01001056","S02000194","3","1A2","S00098062","S01007637","S02001436","S34000918","S03000005","S99999999","3","8A2",55.122950,-3.350157,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146264","S01015314","S02002838","3"
"DG112HZ","DG11 2HZ","DG11 2HZ","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313998","0581920","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008347","08C44","S99999999","S01001056","S02000194","3","1A2","S00098062","S01007637","S02001436","S34000918","S03000005","S99999999","3","8A2",55.124172,-3.350151,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146260","S01015314","S02002838","3"
"DG112JA","DG11 2JA","DG11 2JA","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313911","0582008","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008344","08C44","S99999999","S01001054","S02000194","3","1C1","S00098059","S01007639","S02001436","S34000918","S03000005","S99999999","3","8C2",55.124948,-3.351541,"S99999999","","S23000009",2508,"S99999999","S99999999","S00146260","S01015314","S02002838","3"
"DG112JB","DG11 2JB","DG11 2JB","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313882","0581816","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008345","08C44","S99999999","S01001056","S02000194","3","5B4","S00098060","S01007637","S02001436","S34000918","S03000005","S99999999","3","5B3",55.123218,-3.351938,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146266","S01015314","S02002838","3"
"DG112JD","DG11 2JD","DG11 2JD","198006","","S99999999","S99999999","S12000006","S13002890","S99999999","0","314008","0582420","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008357","08C44","S99999999","S01001059","S02000194","3","1A3","S00098073","S01007639","S02001436","S34000918","S03000005","S99999999","3","8D1",55.128666,-3.350145,"S99999999","","S23000009",2508,"S99999999","S99999999","S00146250","S01015316","S02002838","3"
"DG112JE","DG11 2JE","DG11 2JE","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","314014","0582557","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008357","08C44","S99999999","S01001059","S02000194","3","1A3","S00098073","S01007639","S02001436","S34000918","S03000005","S99999999","3","8D1",55.129897,-3.350093,"S99999999","","S23000009",2508,"S99999999","S99999999","S00146250","S01015316","S02002838","3"
