pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HX3 7BP","HX3  7BP","HX3 7BP","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411264","0426280","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055115","00CYFJ","E65000001","E01010937","E02002246","6","6A2","E00055115","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.732808,-1.830738,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055115","E01010937","E02002246","UN1"
"HX3 7BQ","HX3  7BQ","HX3 7BQ","199812","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411335","0426575","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055112","00CYFJ","E65000001","E01010935","E02002246","6","6D2","E00055112","E01010935","E02002246","E33011727","E38000025","E63007965","A1","5B3",53.735458,-1.829651,"E37000062","","E23000010",24681,"E56000030","E54000054","E00055112","E01010935","E02002246","UN1"
"HX3 7BS","HX3  7BS","HX3 7BS","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411447","0426418","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055115","00CYFJ","E65000001","E01010937","E02002246","6","6A2","E00055115","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.734045,-1.827959,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055115","E01010937","E02002246","UN1"
"HX3 7BT","HX3  7BT","HX3 7BT","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411313","0426445","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055115","00CYFJ","E65000001","E01010937","E02002246","6","6A2","E00055115","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.734290,-1.829989,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055115","E01010937","E02002246","UN1"
"HX3 7BU","HX3  7BU","HX3 7BU","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411198","0426365","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055116","00CYFJ","E65000001","E01010937","E02002246","6","6A1","E00055116","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.733574,-1.831735,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055116","E01010937","E02002246","UN1"
"HX3 7BW","HX3  7BW","HX3 7BW","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411460","0426402","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055115","00CYFJ","E65000001","E01010937","E02002246","6","6A2","E00055115","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.733900,-1.827762,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055115","E01010937","E02002246","UN1"
"HX3 7BX","HX3  7BX","HX3 7BX","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411115","0426405","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055116","00CYFJ","E65000001","E01010937","E02002246","6","6A1","E00055116","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.733935,-1.832992,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055116","E01010937","E02002246","UN1"
"HX3 7BY","HX3  7BY","HX3 7BY","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411180","0426438","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055116","00CYFJ","E65000001","E01010937","E02002246","6","6A1","E00055116","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.734230,-1.832006,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055116","E01010937","E02002246","UN1"
"HX3 7BZ","HX3  7BZ","HX3 7BZ","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411261","0426514","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055116","00CYFJ","E65000001","E01010937","E02002246","6","6A1","E00055116","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.734911,-1.830775,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055116","E01010937","E02002246","UN1"
"HX3 7DA","HX3  7DA","HX3 7DA","198001","","E99999999","E99999999","E08000033","E05001378","E43000293","0","411261","0426575","1","E18000003","E40000012","E92000001","E12000003","2","E14001262","E15000003","E24000045","E30000029","E16000040","E08000033","00CYGC","E00055116","00CYFJ","E65000001","E01010937","E02002246","6","6A1","E00055116","E01010937","E02002246","E33011727","E38000025","E63007965","A1","5A1",53.735460,-1.830773,"E37000062","","E23000010",23397,"E56000030","E54000054","E00055116","E01010937","E02002246","UN1"
