pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HG2 8ZP","HG2  8ZP","HG2 8ZP","200408","201812","E99999999","E99999999","E06000065","E05014279","E04013500","1","431404","0456372","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDGQ","E00140817","36UDGQ","E65000001","E01027649","E02005773","5","1B2","E00140817","E01027649","E02005773","E33010184","E38000241","E63007692","C1","8D2",54.002442,-1.522392,"E37000058","","E23000009",16049,"E56000026","E54000051","E00140817","E01027649","E02005773","UN1"
"HG2 8ZQ","HG2  8ZQ","HG2 8ZQ","200402","202104","E99999999","E99999999","E06000065","E05014279","E04013500","1","431404","0456372","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDGQ","E00140817","36UDGQ","E65000001","E01027649","E02005773","5","1B2","E00140817","E01027649","E02005773","E33010184","E38000241","E63007692","C1","8D2",54.002442,-1.522392,"E37000058","","E23000009",16049,"E56000026","E54000051","E00140817","E01027649","E02005773","UN1"
"HG2 8ZS","HG2  8ZS","HG2 8ZS","200401","200407","E99999999","E99999999","E06000065","E05014279","E04013500","1","431404","0456372","5","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDGQ","E00140817","36UDGQ","E65000001","E01027649","E02005773","5","1B2","E00140817","E01027649","E02005773","E33010184","E38000241","E63007692","C1","8D2",54.002442,-1.522392,"E37000058","","E23000009",16049,"E56000026","E54000051","E00140817","E01027649","E02005773","UN1"
"HG2 8ZT","HG2  8ZT","HG2 8ZT","200310","200602","E99999999","E99999999","E06000065","E05014279","E04013500","1","431404","0456372","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDGQ","E00140817","36UDGQ","E65000001","E01027649","E02005773","5","1B2","E00140817","E01027649","E02005773","E33010184","E38000241","E63007692","C1","8D2",54.002442,-1.522392,"E37000058","","E23000009",16049,"E56000026","E54000051","E00140817","E01027649","E02005773","UN1"
"HG2 8ZU","HG2  8ZU","HG2 8ZU","200309","200601","E99999999","E99999999","E06000065","E05014279","E04013500","1","431404","0456372","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDGQ","E00140817","36UDGQ","E65000001","E01027649","E02005773","5","1B2","E00140817","E01027649","E02005773","E33010184","E38000241","E63007692","C1","8D2",54.002442,-1.522392,"E37000058","","E23000009",16049,"E56000026","E54000051","E00140817","E01027649","E02005773","UN1"
"HG2 9AA","HG2  9AA","HG2 9AA","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429559","0454101","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141161","36UDHQ","E65000001","E01027717","E02005780","5","4D2","E00141161","E01027717","E02005780","E33013606","E38000241","E63007692","C1","6A4",53.982140,-1.550758,"E37000058","","E23000009",31365,"E56000026","E54000051","E00141161","E01027717","E02005780","UN1"
"HG2 9AB","HG2  9AB","HG2 9AB","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429510","0454078","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141161","36UDHQ","E65000001","E01027717","E02005780","5","4D2","E00141161","E01027717","E02005780","E33013606","E38000241","E63007692","C1","6A4",53.981936,-1.551507,"E37000058","","E23000009",31365,"E56000026","E54000051","E00141161","E01027717","E02005780","UN1"
"HG2 9AD","HG2  9AD","HG2 9AD","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429655","0454004","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141160","36UDHQ","E65000001","E01027718","E02005780","5","4B4","E00141160","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.981263,-1.549304,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141160","E01027718","E02005780","UN1"
"HG2 9AE","HG2  9AE","HG2 9AE","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429487","0454107","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141161","36UDHQ","E65000001","E01027717","E02005780","5","4D2","E00141161","E01027717","E02005780","E33013606","E38000241","E63007692","C1","6A4",53.982198,-1.551855,"E37000058","","E23000009",31365,"E56000026","E54000051","E00141161","E01027717","E02005780","UN1"
"HG2 9AF","HG2  9AF","HG2 9AF","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429601","0453972","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141160","36UDHQ","E65000001","E01027718","E02005780","5","4B4","E00141160","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.980979,-1.550130,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141160","E01027718","E02005780","UN1"
"HG2 9AG","HG2  9AG","HG2 9AG","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429629","0453887","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141152","36UDHQ","E65000001","E01027718","E02005780","5","4D2","E00141152","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.980213,-1.549711,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141152","E01027718","E02005780","UN1"
"HG2 9AH","HG2  9AH","HG2 9AH","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429702","0453845","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141152","36UDHQ","E65000001","E01027718","E02005780","5","4D2","E00141152","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.979831,-1.548602,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141152","E01027718","E02005780","UN1"
"HG2 9AJ","HG2  9AJ","HG2 9AJ","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429405","0453608","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141155","36UDHQ","E65000001","E01027719","E02005780","5","4D2","E00141155","E01027719","E02005780","E33013606","E38000241","E63007692","C1","5B2",53.977718,-1.553154,"E37000058","","E23000009",31383,"E56000026","E54000051","E00141155","E01027719","E02005780","UN1"
"HG2 9AL","HG2  9AL","HG2 9AL","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429553","0453737","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141152","36UDHQ","E65000001","E01027718","E02005780","5","4D2","E00141152","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.978869,-1.550885,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141152","E01027718","E02005780","UN1"
