pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"SM1 3RL","SM1  3RL","SM1 3RL","198001","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526653","0164603","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020846","00BFGM","E65000001","E01004138","E02000852","5","2B2","E00020846","E01004138","E02000852","E33036123","E38000245","E63012369","A1","4C3",51.366376,-0.182028,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020846","E01004138","E02000852","UN1"
"SM1 3RN","SM1  3RN","SM1 3RN","199606","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526531","0164864","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020842","00BFGM","E65000001","E01004138","E02000852","5","6D1","E00020842","E01004138","E02000852","E33036123","E38000245","E63012369","A1","5A2",51.368749,-0.183686,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020842","E01004138","E02000852","UN1"
"SM1 3RP","SM1  3RP","SM1 3RP","198001","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526595","0164608","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020846","00BFGM","E65000001","E01004138","E02000852","5","2B2","E00020846","E01004138","E02000852","E33036123","E38000245","E63012369","A1","4C3",51.366434,-0.182859,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020846","E01004138","E02000852","UN1"
"SM1 3RQ","SM1  3RQ","SM1 3RQ","198001","","E99999999","E99999999","E09000029","E05013756","E43000219","0","527328","0164738","1","E18000007","E40000003","E92000001","E12000007","5","E14001153","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGF","E00020662","00BFGF","E65000001","E01004100","E02000854","5","6D1","E00020662","E01004100","E02000854","E33036132","E38000245","E63012369","A1","5B1",51.367438,-0.172288,"E37000051","","E23000001",27872,"E56000021","E54000031","E00020662","E01004100","E02000854","UN1"
"SM1 3RR","SM1  3RR","SM1 3RR","198001","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526584","0164792","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020842","00BFGM","E65000001","E01004138","E02000852","5","6D1","E00020842","E01004138","E02000852","E33036123","E38000245","E63012369","A1","5A2",51.368090,-0.182951,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020842","E01004138","E02000852","UN1"
"SM1 3RS","SM1  3RS","SM1 3RS","198106","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526589","0164957","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020834","00BFGM","E65000001","E01004138","E02000852","5","7B1","E00020834","E01004138","E02000852","E33036123","E38000245","E63012369","A1","7A3",51.369571,-0.182821,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020834","E01004138","E02000852","UN1"
"SM1 3RT","SM1  3RT","SM1 3RT","198001","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526541","0164744","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020842","00BFGM","E65000001","E01004138","E02000852","5","6D1","E00020842","E01004138","E02000852","E33036123","E38000245","E63012369","A1","5A2",51.367668,-0.183586,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020842","E01004138","E02000852","UN1"
"SM1 3RU","SM1  3RU","SM1 3RU","198001","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526555","0164779","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020842","00BFGM","E65000001","E01004138","E02000852","5","6D1","E00020842","E01004138","E02000852","E33036123","E38000245","E63012369","A1","5A2",51.367979,-0.183372,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020842","E01004138","E02000852","UN1"
"SM1 3RW","SM1  3RW","SM1 3RW","198109","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526693","0164888","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020834","00BFGM","E65000001","E01004138","E02000852","5","7B1","E00020834","E01004138","E02000852","E33036123","E38000245","E63012369","A1","7A3",51.368928,-0.181352,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020834","E01004138","E02000852","UN1"
"SM1 3RX","SM1  3RX","SM1 3RX","198001","","E99999999","E99999999","E09000029","E05013765","E43000219","0","526600","0164894","1","E18000007","E40000003","E92000001","E12000007","5","E14001534","E15000007","E24000016","E30000234","E16000068","E09000029","00BFGM","E00020834","00BFGM","E65000001","E01004138","E02000852","5","7B1","E00020834","E01004138","E02000852","E33036123","E38000245","E63012369","A1","7A3",51.369003,-0.182685,"E37000051","","E23000001",19774,"E56000021","E54000031","E00020834","E01004138","E02000852","UN1"
