pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"LD3 8DX","LD3  8DX","LD3 8DX","200507","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303521","0228459","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002612","00NNSY","W18000001","W01000489","W02000113","2","1C1","W00002612","W01000489","W02000113","W35001380","W11000024","W45000918","D2","8A1",51.946239,-3.405093,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002612","W01000489","W02000113","RLF1"
"LD3 8DY","LD3  8DY","LD3 8DY","198001","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303568","0228114","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002614","00NNSY","W18000001","W01000489","W02000113","2","5B4","W00002614","W01000489","W02000113","W35001380","W11000024","W45000918","D2","8C3",51.943146,-3.404313,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002614","W01000489","W02000113","RLF1"
"LD3 8EA","LD3  8EA","LD3 8EA","200803","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303737","0228080","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002614","00NNSY","W18000001","W01000489","W02000113","2","5B4","W00002614","W01000489","W02000113","W35001380","W11000024","W45000918","D2","8C3",51.942870,-3.401845,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002614","W01000489","W02000113","RLF1"
"LD3 8EB","LD3  8EB","LD3 8EB","198001","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303832","0228304","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002613","00NNSY","W18000001","W01000489","W02000113","2","6C2","W00002613","W01000489","W02000113","W35001380","W11000024","W45000918","D2","5A3",51.944899,-3.400526,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002613","W01000489","W02000113","RLF1"
"LD3 8ED","LD3  8ED","LD3 8ED","199308","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303357","0228313","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002610","00NNSY","W18000001","W01000489","W02000113","3","6B1","W00002610","W01000489","W02000113","W35000191","W11000024","W45000918","D2","8C2",51.944898,-3.407437,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002610","W01000489","W02000113","RLF1"
"LD3 8EE","LD3  8EE","LD3 8EE","199308","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303758","0228155","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002614","00NNSY","W18000001","W01000489","W02000113","2","5B4","W00002614","W01000489","W02000113","W35001380","W11000024","W45000918","D2","8C3",51.943547,-3.401561,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002614","W01000489","W02000113","RLF1"
"LD3 8EF","LD3  8EF","LD3 8EF","198604","","W99999999","W99999999","W06000023","W05001121","W04000255","1","302711","0228401","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002642","00NNTC","W18000001","W01000495","W02000112","3","3A2","W00002642","W01001897","W02000414","W35002647","W11000024","","E2","1B3",51.945576,-3.416858,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002642","W01001897","W02000414","RSF1"
"LD3 8EG","LD3  8EG","LD3 8EG","198001","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303290","0228367","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002610","00NNSY","W18000001","W01000489","W02000113","3","6B1","W00002610","W01000489","W02000113","W35000191","W11000024","W45000918","D2","8C2",51.945372,-3.408427,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002610","W01000489","W02000113","RLF1"
"LD3 8EH","LD3  8EH","LD3 8EH","198001","","W99999999","W99999999","W06000023","W05001169","W04000278","0","301697","0227119","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002642","00NNTC","W18000001","W01000495","W02000112","3","3A2","W00002642","W01001897","W02000414","W35002647","W11000024","","E2","1B3",51.933875,-3.431239,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002642","W01001897","W02000414","RSF1"
"LD3 8EJ","LD3  8EJ","LD3 8EJ","199712","","W99999999","W99999999","W06000023","W05001169","W04000278","0","299447","0226111","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002643","00NNTC","W18000001","W01000495","W02000112","8","3A2","W00002643","W01001897","W02000414","W35002647","W11000024","","F1","1C1",51.924413,-3.463659,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002643","W01001897","W02000414","RSF1"
"LD3 8EL","LD3  8EL","LD3 8EL","198001","","W99999999","W99999999","W06000023","W05001169","W04000278","0","299882","0226336","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002643","00NNTC","W18000001","W01000495","W02000112","8","3A2","W00002643","W01001897","W02000414","W35002647","W11000024","","F1","1C1",51.926513,-3.457401,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002643","W01001897","W02000414","RSF1"
"LD3 8EN","LD3  8EN","LD3 8EN","198001","","W99999999","W99999999","W06000023","W05001169","W04000278","0","299340","0225965","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002643","00NNTC","W18000001","W01000495","W02000112","8","3A2","W00002643","W01001897","W02000414","W35002647","W11000024","","F1","1C1",51.923081,-3.465172,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002643","W01001897","W02000414","RSF1"
"LD3 8EP","LD3  8EP","LD3 8EP","198001","","W99999999","W99999999","W06000023","W05001169","W04000278","0","298391","0225116","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002643","00NNTC","W18000001","W01000495","W02000112","8","3A2","W00002643","W01001897","W02000414","W35002647","W11000024","","F1","1C1",51.915278,-3.478716,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002643","W01001897","W02000414","RSF1"
"LD3 8EQ","LD3  8EQ","LD3 8EQ","201206","","W99999999","W99999999","W06000023","W05001121","W04000255","0","303864","0228069","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002615","00NNSY","W18000001","W01000489","W02000113","2","6B1","W00002615","W01000489","W02000113","W35001380","W11000024","W45000918","D2","5B2",51.942793,-3.399995,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002615","W01000489","W02000113","RLF1"
"LD3 8ER","LD3  8ER","LD3 8ER","198001","","W99999999","W99999999","W06000023","W05001169","W04000278","0","297717","0226205","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002643","00NNTC","W18000001","W01000495","W02000112","8","3A2","W00002643","W01001897","W02000414","W35002647","W11000024","","F1","1C1",51.924942,-3.488836,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002643","W01001897","W02000414","RSF1"
"LD3 8ES","LD3  8ES","LD3 8ES","198001","","W99999999","W99999999","W06000023","W05001176","W04000347","0","298263","0228261","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTK","W00002693","00NNTK","W18000001","W01000503","W02000112","4","3B2","W00002693","W01000503","W02000414","W35002644","W11000024","","F2","1A3",51.943521,-3.481507,"W99999999","","W15000004",1264,"W99999999","W99999999","W00002693","W01000503","W02000414","RSF1"
"LD3 8ET","LD3  8ET","LD3 8ET","198001","","W99999999","W99999999","W06000023","W05001176","W04000347","0","296958","0227427","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTK","W00002693","00NNTK","W18000001","W01000503","W02000112","4","3B2","W00002693","W01000503","W02000414","W35002644","W11000024","","F2","1A3",51.935785,-3.500236,"W99999999","","W15000004",1264,"W99999999","W99999999","W00002693","W01000503","W02000414","RSF1"
"LD3 8EU","LD3  8EU","LD3 8EU","198001","","W99999999","W99999999","W06000023","W05001176","W04000347","0","297127","0228783","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTK","W00002693","00NNTK","W18000001","W01000503","W02000112","4","3B2","W00002693","W01000503","W02000414","W35002644","W11000024","","F2","1A3",51.948004,-3.498185,"W99999999","","W15000004",1264,"W99999999","W99999999","W00002693","W01000503","W02000414","RSF1"
"LD3 8EW","LD3  8EW","LD3 8EW","198001","","W99999999","W99999999","W06000023","W05001169","W04000278","0","299366","0225614","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002642","00NNTC","W18000001","W01000495","W02000112","3","3A2","W00002642","W01001897","W02000414","W35002647","W11000024","","E2","1B3",51.919931,-3.464691,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002642","W01001897","W02000414","RSF1"
"LD3 8EX","LD3  8EX","LD3 8EX","199912","","W99999999","W99999999","W06000023","W05001121","W04000255","0","302879","0228499","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSY","W00002610","00NNSY","W18000001","W01000489","W02000113","3","6B1","W00002610","W01000489","W02000113","W35000191","W11000024","","D2","8C2",51.946486,-3.414442,"W99999999","","W15000004",1137,"W99999999","W99999999","W00002610","W01000489","W02000113","RLF1"
"LD3 8EY","LD3  8EY","LD3 8EY","198001","","W99999999","W99999999","W06000023","W05001176","W04000347","0","296471","0229008","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTK","W00002693","00NNTK","W18000001","W01000503","W02000112","4","3B2","W00002693","W01000503","W02000414","W35002644","W11000024","","F2","1A3",51.949904,-3.507794,"W99999999","","W15000004",1264,"W99999999","W99999999","W00002693","W01000503","W02000414","RSF1"
"LD3 8FB","LD3  8FB","LD3 8FB","200703","","W99999999","W99999999","W06000023","W05001169","W04000278","0","299452","0225928","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTC","W00002643","00NNTC","W18000001","W01000495","W02000112","8","3A2","W00002643","W01001897","W02000414","W35002647","W11000024","","F1","1C1",51.922769,-3.463533,"W99999999","","W15000004",1404,"W99999999","W99999999","W00002643","W01001897","W02000414","RSF1"
"LD3 8HA","LD3  8HA","LD3 8HA","198001","","W99999999","W99999999","W06000023","W05001159","W04000327","0","295005","0228834","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSH","W00002528","00NNSH","W18000001","W01000474","W02000112","4","3B2","W00002528","W01000474","W02000414","W35002647","W11000024","","F2","1A3",51.948066,-3.529063,"W99999999","","W15000004",1241,"W99999999","W99999999","W00002528","W01000474","W02000414","RSF1"
"LD3 8HB","LD3  8HB","LD3 8HB","198001","","W99999999","W99999999","W06000023","W05001176","W04000347","0","295286","0229121","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTK","W00002693","00NNTK","W18000001","W01000503","W02000112","4","3B2","W00002693","W01000503","W02000414","W35002644","W11000024","","F2","1A3",51.950698,-3.525064,"W99999999","","W15000004",1264,"W99999999","W99999999","W00002693","W01000503","W02000414","RSF1"
"LD3 8HD","LD3  8HD","LD3 8HD","198001","","W99999999","W99999999","W06000023","W05001159","W04000327","0","294480","0229520","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSH","W00002528","00NNSH","W18000001","W01000474","W02000112","4","3B2","W00002528","W01000474","W02000414","W35002647","W11000024","","F2","1A3",51.954132,-3.536910,"W99999999","","W15000004",1241,"W99999999","W99999999","W00002528","W01000474","W02000414","RSF1"
"LD3 8HE","LD3  8HE","LD3 8HE","198001","201202","W99999999","W99999999","W06000023","W05001159","W04000327","0","293632","0229782","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSH","W00002528","00NNSH","W18000001","W01000474","W02000112","4","3B2","W00002528","W01000474","W02000414","W35002647","W11000024","","F2","1A3",51.956325,-3.549326,"W99999999","","W15000004",1241,"W99999999","W99999999","W00002528","W01000474","W02000414","RSF1"
"LD3 8HF","LD3  8HF","LD3 8HF","198001","","W99999999","W99999999","W06000023","W05001176","W04000347","0","294855","0229704","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTK","W00002693","00NNTK","W18000001","W01000503","W02000112","4","3B2","W00002693","W01000503","W02000414","W35002644","W11000024","","F2","1A3",51.955857,-3.531511,"W99999999","","W15000004",1264,"W99999999","W99999999","W00002693","W01000503","W02000414","RSF1"
"LD3 8HG","LD3  8HG","LD3 8HG","198001","","W99999999","W99999999","W06000023","W05001176","W04000347","0","294469","0229953","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNTK","W00002693","00NNTK","W18000001","W01000503","W02000112","4","3B2","W00002693","W01000503","W02000414","W35002644","W11000024","","F2","1A3",51.958021,-3.537203,"W99999999","","W15000004",1264,"W99999999","W99999999","W00002693","W01000503","W02000414","RSF1"
"LD3 8HH","LD3  8HH","LD3 8HH","198001","","W99999999","W99999999","W06000023","W05001159","W04000327","0","293115","0229764","1","W11000024","W99999999","W92000004","W99999999","9","W07000085","W08000001","W16000002","W22000023","W11000024","W06000023","00NNSH","W00002528","00NNSH","W18000001","W01000474","W02000112","4","3B2","W00002528","W01000474","W02000414","W35002647","W11000024","","F2","1A3",51.956064,-3.556841,"W99999999","","W15000004",1241,"W99999999","W99999999","W00002528","W01000474","W02000414","RSF1"
